game_year,batter,stand,p_throws,zone,pitch_type,ball_in_play,foul,swinging_strike,total_swings,pct_swinging_strike,pct_foul,pct_ball_in_play
2024,453568,L,L,6,FC,1,1,0,2,0.0,0.5,0.5
2024,453568,L,L,6,FF,2,3,1,6,0.16666666666666666,0.5,0.3333333333333333
2024,453568,L,L,6,SI,6,4,0,10,0.0,0.4,0.6
2024,453568,L,L,6,SL,1,0,0,1,0.0,0.0,1.0
2024,453568,L,L,6,ST,0,1,0,1,0.0,1.0,0.0
2024,453568,L,L,7,CU,1,0,1,2,0.5,0.0,0.5
2024,453568,L,L,7,FF,2,1,0,3,0.0,0.3333333333333333,0.6666666666666666
2024,453568,L,L,7,KC,0,1,0,1,0.0,1.0,0.0
2024,453568,L,L,7,SI,2,2,0,4,0.0,0.5,0.5
2024,453568,L,L,7,SL,2,1,2,5,0.4,0.2,0.4
2024,453568,L,L,7,ST,0,1,0,1,0.0,1.0,0.0
2024,453568,L,L,8,FC,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
2024,453568,L,L,8,FF,1,1,0,2,0.0,0.5,0.5
2024,453568,L,L,8,FS,0,1,0,1,0.0,1.0,0.0
2024,453568,L,L,8,SI,8,1,1,10,0.1,0.1,0.8
2024,453568,L,L,8,SL,4,1,0,5,0.0,0.2,0.8
2024,453568,L,L,8,ST,0,0,1,1,1.0,0.0,0.0
2024,453568,L,L,8,SV,0,1,0,1,0.0,1.0,0.0
2024,453568,L,L,9,FF,2,2,0,4,0.0,0.5,0.5
2024,453568,L,L,9,SI,2,2,0,4,0.0,0.5,0.5
2024,453568,L,L,9,SL,0,1,0,1,0.0,1.0,0.0
2024,453568,L,L,11,FF,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
2024,453568,L,L,11,SI,0,1,0,1,0.0,1.0,0.0
2024,453568,L,L,12,CH,0,1,0,1,0.0,1.0,0.0
2024,453568,L,L,12,FF,3,6,0,9,0.0,0.6666666666666666,0.3333333333333333
2024,453568,L,L,12,SI,4,2,0,6,0.0,0.3333333333333333,0.6666666666666666
2024,453568,L,L,12,SL,0,1,0,1,0.0,1.0,0.0
2024,453568,L,L,13,CH,1,1,0,2,0.0,0.5,0.5
2024,453568,L,L,13,FC,0,0,1,1,1.0,0.0,0.0
2024,453568,L,L,13,FF,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
2024,453568,L,L,13,SL,3,0,3,6,0.5,0.0,0.5
2024,453568,L,L,13,ST,3,2,3,8,0.375,0.25,0.375
2024,453568,L,L,14,CH,0,1,2,3,0.6666666666666666,0.3333333333333333,0.0
2024,453568,L,L,14,CU,0,1,0,1,0.0,1.0,0.0
2024,453568,L,L,14,FF,0,2,0,2,0.0,1.0,0.0
2024,453568,L,L,14,FS,1,0,0,1,0.0,0.0,1.0
2024,453568,L,L,14,KC,0,1,0,1,0.0,1.0,0.0
2024,453568,L,L,14,SI,1,0,0,1,0.0,0.0,1.0
2024,453568,L,L,14,SL,1,0,0,1,0.0,0.0,1.0
2024,453568,L,L,14,SV,0,1,0,1,0.0,1.0,0.0
2024,453568,L,R,1,CH,2,1,0,3,0.0,0.3333333333333333,0.6666666666666666
2024,453568,L,R,1,CU,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
2024,453568,L,R,1,FC,2,1,2,5,0.4,0.2,0.4
