game_year,stand,p_throws,zone,pitch_type,total_pitches,total_swings,swing_percentage
2024,L,L,4,KC,32,18,0.5625
2024,L,L,4,SI,898,331,0.3685968819599109
2024,L,L,4,SL,724,508,0.7016574585635359
2024,L,L,4,ST,391,292,0.7468030690537084
2024,L,L,4,SV,40,24,0.6
2024,L,L,5,CH,89,75,0.8426966292134831
2024,L,L,5,CU,158,113,0.7151898734177216
2024,L,L,5,EP,2,2,1.0
2024,L,L,5,FA,2,2,1.0
2024,L,L,5,FC,279,234,0.8387096774193549
2024,L,L,5,FF,1589,1199,0.7545626179987414
2024,L,L,5,FO,1,1,1.0
2024,L,L,5,FS,3,2,0.6666666666666666
2024,L,L,5,KC,52,36,0.6923076923076923
2024,L,L,5,SI,1367,969,0.7088514996342355
2024,L,L,5,SL,731,561,0.7674418604651163
2024,L,L,5,ST,384,295,0.7682291666666666
2024,L,L,5,SV,26,17,0.6538461538461539
2024,L,L,6,CH,108,93,0.8611111111111112
2024,L,L,6,CU,123,71,0.5772357723577236
2024,L,L,6,EP,1,1,1.0
2024,L,L,6,FC,92,68,0.7391304347826086
2024,L,L,6,FF,864,678,0.7847222222222222
2024,L,L,6,FO,1,1,1.0
2024,L,L,6,FS,13,13,1.0
2024,L,L,6,KC,28,20,0.7142857142857143
2024,L,L,6,SI,1333,1095,0.8214553638409603
2024,L,L,6,SL,349,213,0.6103151862464183
2024,L,L,6,ST,225,135,0.6
2024,L,L,6,SV,16,11,0.6875
2024,L,L,7,CH,107,63,0.5887850467289719
2024,L,L,7,CU,177,131,0.7401129943502824
2024,L,L,7,FA,4,1,0.25
2024,L,L,7,FC,339,258,0.7610619469026548
2024,L,L,7,FF,799,267,0.3341677096370463
2024,L,L,7,FS,5,5,1.0
2024,L,L,7,KC,66,49,0.7424242424242424
2024,L,L,7,SI,841,229,0.272294887039239
2024,L,L,7,SL,1050,746,0.7104761904761905
2024,L,L,7,ST,498,326,0.6546184738955824
2024,L,L,7,SV,52,37,0.7115384615384616
2024,L,L,8,CH,137,115,0.8394160583941606
2024,L,L,8,CU,221,162,0.7330316742081447
2024,L,L,8,EP,1,0,0.0
2024,L,L,8,FC,228,159,0.6973684210526315
2024,L,L,8,FF,750,370,0.49333333333333335
2024,L,L,8,FS,10,8,0.8
2024,L,L,8,KC,56,51,0.9107142857142857
2024,L,L,8,SI,1104,593,0.5371376811594203
2024,L,L,8,SL,710,532,0.7492957746478873
