game_year,player_name,pitcher,stand,pitch_type,balls,strikes,count,total_count,frequency
2024,"Bassitt, Chris",605135,L,SI,0,0,148,405,0.3654320987654321
2024,"Freeland, Kyle",607536,R,SI,0,0,147,432,0.3402777777777778
2024,"Cease, Dylan",656302,R,SL,0,0,146,400,0.365
2024,"López, Reynaldo",625643,R,FF,0,0,146,249,0.5863453815261044
2024,"Alexander, Tyler",641302,R,FC,0,0,146,328,0.4451219512195122
2024,"Ryan, Joe",657746,L,FF,0,0,146,276,0.5289855072463768
2024,"Morton, Charlie",450203,L,FF,0,0,146,386,0.37823834196891193
2024,"Kirby, George",669923,L,FF,0,0,145,358,0.40502793296089384
2024,"Valdez, Framber",664285,R,SI,1,0,144,242,0.5950413223140496
2024,"Civale, Aaron",650644,R,SI,0,0,144,356,0.4044943820224719
2024,"Littell, Zack",641793,R,SL,0,0,144,304,0.47368421052631576
2024,"Gibson, Kyle",502043,R,SI,0,0,143,356,0.40168539325842695
2024,"Jones, Jared",683003,L,FF,0,0,143,265,0.539622641509434
2024,"Sánchez, Cristopher",650911,R,CH,0,0,143,614,0.23289902280130292
2024,"Gore, MacKenzie",669022,R,CU,0,0,143,547,0.26142595978062155
2024,"Suárez, Albert",544150,R,FF,0,0,143,302,0.4735099337748344
2024,"Manaea, Sean",640455,R,ST,0,0,143,602,0.23754152823920266
2024,"Crochet, Garrett",676979,R,FF,0,1,143,273,0.5238095238095238
2024,"Hader, Josh",623352,R,SI,0,0,143,228,0.6271929824561403
2024,"Nola, Aaron",605400,R,SI,0,0,142,416,0.34134615384615385
2024,"Bradley, Taj",671737,L,FF,0,0,142,309,0.459546925566343
2024,"Keller, Mitch",656605,L,FF,0,0,141,404,0.349009900990099
2024,"Kikuchi, Yusei",579328,R,CU,0,0,141,611,0.23076923076923078
2024,"Houck, Tanner",656557,L,ST,0,0,141,395,0.3569620253164557
2024,"Assad, Javier",665871,R,SI,0,0,141,294,0.47959183673469385
2024,"Marsh, Alec",679525,L,FF,0,0,141,309,0.4563106796116505
2024,"Estes, Joey",683155,L,FF,0,0,141,251,0.5617529880478087
2024,"Rodriguez, Grayson",680570,R,FF,0,0,141,255,0.5529411764705883
2024,"Ober, Bailey",641927,L,FF,0,0,140,326,0.4294478527607362
2024,"Kelly, Kevin",687330,R,SI,0,0,140,173,0.8092485549132948
2024,"Woods Richardson, Simeon",680573,R,FF,0,0,140,330,0.42424242424242425
2024,"Eflin, Zach",621107,L,FC,0,0,139,335,0.41492537313432837
2024,"Detmers, Reid",672282,R,FF,0,0,139,300,0.4633333333333333
2024,"Flexen, Chris",623167,R,FC,0,0,139,383,0.3629242819843342
2024,"Quintana, Jose",500779,R,FF,0,0,139,584,0.238013698630137
2024,"Waldron, Matt",663362,L,KN,0,0,138,324,0.42592592592592593
2024,"Rodón, Carlos",607074,R,FF,0,1,138,321,0.42990654205607476
2024,"Ragans, Cole",666142,R,KC,0,0,138,606,0.22772277227722773
2024,"Crawford, Kutter",676710,L,FF,0,0,138,394,0.350253807106599
2024,"Ryan, Joe",657746,R,FF,0,0,138,302,0.45695364238410596
2024,"Montgomery, Jordan",656756,R,CU,0,0,138,443,0.3115124153498871
2024,"Eovaldi, Nathan",543135,R,FF,0,0,137,356,0.3848314606741573
2024,"Blach, Ty",621389,R,SI,0,0,137,242,0.5661157024793388
2024,"Allen, Logan",671106,R,FF,0,0,137,360,0.38055555555555554
2024,"Sánchez, Cristopher",650911,R,CH,1,2,137,239,0.5732217573221757
2024,"Gore, MacKenzie",669022,R,FF,0,1,137,278,0.49280575539568344
