inning,runs_scored_game,runs_scored_inning,total_appearances,total_pulled,pull_probability
5,8,0,16,12,0.75
5,8,1,8,6,0.75
5,8,2,10,9,0.9
5,8,3,4,4,1.0
5,8,4,8,7,0.875
5,8,5,3,3,1.0
5,8,7,1,1,1.0
5,9,0,3,2,0.6666666666666666
5,9,1,4,4,1.0
5,9,2,1,1,1.0
5,9,3,3,3,1.0
5,9,4,2,2,1.0
5,9,5,1,1,1.0
5,9,6,1,1,1.0
5,9,9,1,0,0.0
5,10,1,1,1,1.0
5,10,3,1,1,1.0
5,10,4,2,2,1.0
5,10,5,1,1,1.0
5,10,6,1,1,1.0
5,11,1,1,0,0.0
5,11,3,1,1,1.0
6,0,0,13115,1146,0.08738086160884484
6,1,0,2647,1244,0.46996599924442767
6,1,1,2610,363,0.13908045977011493
6,2,0,1813,1016,0.5603971318257033
6,2,1,535,337,0.6299065420560748
6,2,2,1280,153,0.11953125
6,3,0,1062,698,0.6572504708097928
6,3,1,316,236,0.7468354430379747
6,3,2,201,139,0.6915422885572139
6,3,3,591,73,0.12351945854483926
6,4,0,525,382,0.7276190476190476
6,4,1,203,172,0.8472906403940886
6,4,2,117,85,0.7264957264957265
6,4,3,67,49,0.7313432835820896
6,4,4,202,15,0.07425742574257425
6,5,0,221,172,0.7782805429864253
6,5,1,86,70,0.813953488372093
6,5,2,68,60,0.8823529411764706
6,5,3,43,31,0.7209302325581395
6,5,4,13,9,0.6923076923076923
6,5,5,65,2,0.03076923076923077
6,6,0,66,51,0.7727272727272727
6,6,1,37,32,0.8648648648648649
6,6,2,34,27,0.7941176470588235
6,6,3,30,25,0.8333333333333334
6,6,4,12,8,0.6666666666666666
6,6,5,5,4,0.8
6,6,6,12,1,0.08333333333333333
6,7,0,26,19,0.7307692307692307
6,7,1,13,13,1.0
6,7,2,11,7,0.6363636363636364
6,7,3,6,5,0.8333333333333334
6,7,4,6,5,0.8333333333333334
6,7,5,1,1,1.0
6,7,6,1,0,0.0
6,7,7,7,0,0.0
6,8,0,3,3,1.0
6,8,1,2,1,0.5
6,8,2,4,2,0.5
6,8,3,4,3,0.75
6,8,4,4,2,0.5
6,8,8,2,0,0.0
6,9,1,3,1,0.3333333333333333
6,9,2,3,2,0.6666666666666666
6,9,4,1,0,0.0
6,10,1,1,1,1.0
6,10,2,2,2,1.0
7,0,0,17135,855,0.0498978698570178
7,1,0,1478,685,0.4634641407307172
7,1,1,3158,195,0.061747941735275494
7,2,0,876,517,0.5901826484018264
7,2,1,257,144,0.5603112840466926
7,2,2,1412,69,0.04886685552407932
7,3,0,403,244,0.6054590570719603
7,3,1,126,84,0.6666666666666666
7,3,2,92,47,0.5108695652173914
7,3,3,588,19,0.03231292517006803
7,4,0,163,103,0.6319018404907976
7,4,1,56,36,0.6428571428571429
7,4,2,52,23,0.4423076923076923
7,4,3,31,11,0.3548387096774194
7,4,4,224,4,0.017857142857142856
7,5,0,57,35,0.6140350877192983
7,5,1,24,11,0.4583333333333333
7,5,2,27,19,0.7037037037037037
7,5,3,15,4,0.26666666666666666
7,5,4,7,0,0.0
7,5,5,73,0,0.0
7,6,0,12,7,0.5833333333333334
7,6,1,5,3,0.6
7,6,2,9,3,0.3333333333333333
7,6,3,6,2,0.3333333333333333
7,6,4,7,2,0.2857142857142857
7,6,6,26,1,0.038461538461538464
7,7,0,2,2,1.0
7,7,1,4,0,0.0
7,7,2,6,4,0.6666666666666666
7,7,3,1,1,1.0
7,7,4,1,0,0.0
7,7,5,1,0,0.0
7,7,7,5,0,0.0
7,8,0,2,0,0.0
7,8,1,1,0,0.0
7,8,2,2,0,0.0
7,8,3,2,0,0.0
7,8,4,1,0,0.0
7,8,8,1,0,0.0
7,9,0,1,0,0.0
7,9,1,1,0,0.0
7,9,2,2,1,0.5
7,9,3,1,1,1.0
7,11,2,1,0,0.0
8,0,0,17521,197,0.011243650476570973
8,1,0,722,127,0.17590027700831026
8,1,1,3191,42,0.013162018176120338
8,2,0,321,63,0.19626168224299065
8,2,1,104,19,0.18269230769230768
8,2,2,1544,13,0.008419689119170985
8,3,0,131,15,0.11450381679389313
8,3,1,50,7,0.14
8,3,2,53,5,0.09433962264150944
8,3,3,634,1,0.0015772870662460567
8,4,0,56,4,0.07142857142857142
8,4,1,29,3,0.10344827586206896
8,4,2,29,2,0.06896551724137931
8,4,3,22,1,0.045454545454545456
8,4,4,240,1,0.004166666666666667
8,5,0,22,3,0.13636363636363635
8,5,1,9,0,0.0
8,5,2,15,2,0.13333333333333333
8,5,3,12,1,0.08333333333333333
8,5,4,5,0,0.0
8,5,5,81,0,0.0
8,6,0,3,0,0.0
8,6,1,4,0,0.0
8,6,2,6,0,0.0
8,6,3,2,0,0.0
8,6,4,5,0,0.0
8,6,5,2,0,0.0
8,6,6,24,0,0.0
8,7,0,2,0,0.0
8,7,1,2,0,0.0
8,7,2,1,0,0.0
8,7,3,2,0,0.0
8,7,4,1,0,0.0
8,7,5,1,0,0.0
8,7,7,8,0,0.0
8,8,0,1,0,0.0
8,8,1,1,0,0.0
8,8,6,1,0,0.0
8,8,8,3,0,0.0
8,9,9,1,0,0.0
8,10,2,1,0,0.0
9,0,0,12683,103,0.008121106993613498
9,1,0,353,31,0.08781869688385269
9,1,1,2489,11,0.0044194455604660505
9,2,0,128,5,0.0390625
9,2,1,61,5,0.08196721311475409
9,2,2,1078,4,0.0037105751391465678
9,3,0,52,3,0.057692307692307696
9,3,1,35,3,0.08571428571428572
9,3,2,29,2,0.06896551724137931
9,3,3,455,0,0.0
9,4,0,33,2,0.06060606060606061
9,4,1,10,0,0.0
9,4,2,14,0,0.0
9,4,3,7,0,0.0
9,4,4,184,0,0.0
9,5,0,7,0,0.0
9,5,1,3,0,0.0
9,5,2,10,0,0.0
9,5,3,6,0,0.0
9,5,4,3,0,0.0
9,5,5,44,0,0.0
9,6,0,4,0,0.0
9,6,1,2,0,0.0
9,6,2,2,0,0.0
9,6,3,2,0,0.0
9,6,4,1,0,0.0
9,6,6,11,0,0.0
9,7,0,2,0,0.0
9,7,3,3,1,0.3333333333333333
9,7,6,1,0,0.0
9,7,7,2,0,0.0
9,8,8,1,0,0.0
9,9,2,1,0,0.0
9,10,0,1,0,0.0
10,0,0,826,0,0.0
10,1,0,10,0,0.0
10,1,1,665,0,0.0
10,2,0,3,0,0.0
10,2,1,8,0,0.0
10,2,2,236,0,0.0
10,3,0,3,0,0.0
10,3,1,1,0,0.0
10,3,2,2,0,0.0
10,3,3,102,0,0.0
10,4,3,3,0,0.0
10,4,4,32,0,0.0
10,5,3,1,0,0.0
10,5,5,13,0,0.0
10,6,6,2,0,0.0
10,7,7,1,0,0.0
11,0,0,222,0,0.0
11,1,0,20,0,0.0
11,1,1,137,0,0.0
11,2,0,2,0,0.0
11,2,1,16,0,0.0
11,2,2,71,0,0.0
11,3,1,1,0,0.0
11,3,2,4,0,0.0
11,3,3,21,0,0.0
11,4,3,1,0,0.0
11,4,4,13,0,0.0
11,5,4,1,0,0.0
11,5,5,7,0,0.0
11,8,7,1,0,0.0
12,0,0,66,0,0.0
12,1,0,9,0,0.0
12,1,1,49,0,0.0
12,2,1,6,0,0.0
12,2,2,19,0,0.0
12,3,1,1,0,0.0
12,3,2,1,0,0.0
12,3,3,10,0,0.0
12,4,4,5,0,0.0
12,5,4,1,0,0.0
12,5,5,3,0,0.0
13,0,0,18,0,0.0
13,1,0,4,0,0.0
13,1,1,21,0,0.0
13,2,1,4,0,0.0
13,2,2,5,0,0.0
13,3,3,2,0,0.0
13,6,6,1,0,0.0
14,0,0,8,0,0.0
14,1,0,4,0,0.0
14,1,1,1,0,0.0
14,2,1,1,0,0.0
14,2,2,1,0,0.0
14,4,2,1,0,0.0
15,0,0,3,0,0.0
15,1,0,1,0,0.0
15,1,1,1,0,0.0
15,2,1,1,0,0.0
15,2,2,2,0,0.0
16,0,0,4,0,0.0
16,4,2,1,0,0.0
17,0,0,2,0,0.0
18,0,0,2,0,0.0
18,1,1,1,0,0.0
