game_year,pitcher,throws
2024,605488,L
2024,605498,L
2024,605513,R
2024,606131,R
2024,606149,R
2024,606160,R
2024,606303,R
2024,606930,R
2024,606965,R
2024,607067,R
2024,607074,L
2024,607179,R
2024,607192,R
2024,607200,R
2024,607216,R
2024,607229,R
2024,607237,L
2024,607259,R
2024,607455,L
2024,607481,L
2024,607536,L
2024,607625,R
2024,607644,L
2024,608032,R
2024,608331,L
2024,608334,R
2024,608344,L
2024,608371,R
2024,608379,R
2024,608566,R
2024,608638,R
2024,608648,R
2024,608678,R
2024,608717,R
2024,608718,L
2024,608723,R
2024,612434,R
2024,613534,R
2024,614179,R
2024,615698,R
2024,620443,R
2024,620454,L
2024,620982,R
2024,621016,R
2024,621048,R
2024,621051,R
2024,621053,R
2024,621057,R
2024,621097,R
2024,621107,R
2024,621111,R
2024,621112,R
2024,621114,R
2024,621139,R
2024,621142,R
2024,621199,R
2024,621237,L
2024,621242,R
2024,621244,R
2024,621294,R
2024,621345,L
2024,621363,L
2024,621366,L
2024,621381,L
2024,621383,L
2024,621389,L
2024,621399,L
2024,621550,R
2024,622065,L
2024,622072,L
2024,622075,R
2024,622088,R
2024,622098,R
2024,622103,R
2024,622250,R
2024,622251,R
2024,622253,R
2024,622259,R
2024,622268,R
2024,622338,R
2024,622491,R
2024,622503,R
2024,622554,R
2024,622569,R
2024,622608,R
2024,622663,R
2024,622694,R
2024,622766,R
2024,622786,R
2024,623149,R
2024,623167,R
2024,623168,R
2024,623211,R
2024,623352,L
2024,623381,L
2024,623433,R
2024,623437,R
2024,623451,R
2024,623454,R
2024,623465,R
2024,623474,R
2024,623520,R
2024,624133,L
2024,624431,R
2024,624522,R
2024,624647,L
2024,625643,R
2024,628317,R
2024,628452,R
2024,628708,R
2024,630023,R
2024,640448,R
2024,640451,R
2024,640454,L
2024,640455,L
2024,640462,L
2024,640470,R
2024,640902,R
2024,641149,R
2024,641154,R
2024,641302,L
2024,641312,R
2024,641329,R
2024,641343,L
2024,641360,R
2024,641386,L
2024,641394,L
2024,641401,R
2024,641427,R
2024,641461,R
2024,641482,L
2024,641540,R
2024,641541,R
2024,641582,R
2024,641585,R
2024,641627,R
2024,641632,R
2024,641645,R
2024,641656,R
2024,641658,R
2024,641703,R
2024,641712,R
2024,641726,R
2024,641729,R
2024,641745,R
2024,641750,R
2024,641755,R
2024,641771,R
2024,641778,L
2024,641793,R
2024,641816,R
2024,641835,L
2024,641927,R
2024,641941,R
2024,642016,R
2024,642028,L
2024,642048,L
2024,642086,L
2024,642100,L
2024,642121,R
2024,642130,L
2024,642133,L
2024,642207,R
2024,642215,R
2024,642216,R
2024,642232,L
2024,642239,L
2024,642397,L
2024,642520,R
2024,642528,R
2024,642530,R
2024,642545,R
2024,642546,R
2024,642547,R
2024,642575,R
2024,642629,R
2024,642701,R
2024,642834,L
2024,643256,R
2024,643338,R
2024,643361,R
2024,643377,R
2024,643396,R
2024,643410,R
2024,643493,R
2024,643511,R
2024,646242,L
2024,647306,L
2024,647315,R
2024,647336,R
2024,650489,R
2024,650556,R
2024,650633,R
2024,650644,R
2024,650671,L
2024,650893,L
2024,650895,R
2024,650911,L
2024,650960,R
2024,655889,R
2024,656186,R
2024,656222,L
2024,656232,R
2024,656234,R
2024,656240,R
2024,656257,R
2024,656266,R
2024,656271,L
2024,656288,R
2024,656302,R
2024,656353,L
2024,656354,L
2024,656412,R
2024,656420,R
2024,656427,R
2024,656457,L
2024,656458,L
2024,656464,R
2024,656529,L
2024,656546,R
2024,656547,R
2024,656548,R
2024,656550,R
2024,656557,R
2024,656605,R
2024,656629,R
2024,656638,R
2024,656641,L
2024,656647,L
2024,656657,L
2024,656671,L
2024,656686,R
2024,656701,R
2024,656716,R
2024,656726,R
2024,656730,R
2024,656731,R
2024,656756,L
2024,656786,L
2024,656793,R
2024,656794,L
2024,656814,R
2024,656820,R
2024,656848,R
2024,656849,L
2024,656876,R
2024,656887,R
2024,656896,R
2024,656924,R
2024,656945,L
2024,656970,L
2024,656976,L
2024,656986,L
2024,657006,L
2024,657024,R
2024,657044,R
2024,657053,R
2024,657061,R
2024,657097,R
2024,657193,R
2024,657240,R
2024,657265,R
