game_year,batter,bats
2024,680757,L
2024,680769,L
2024,680771,R
2024,680776,L
2024,680777,R
2024,680779,R
2024,680799,L
2024,680810,L
2024,680837,L
2024,680862,R
2024,680868,L
2024,680869,R
2024,680881,R
2024,680890,L
2024,680906,L
2024,680911,R
2024,680918,R
2024,680971,R
2024,680977,L
2024,680996,L
2024,681047,R
2024,681082,L
2024,681098,R
2024,681114,L
2024,681132,L
2024,681146,R
2024,681172,L
2024,681184,L
2024,681198,L
2024,681286,L
2024,681297,L
2024,681317,R
2024,681323,L
2024,681333,R
2024,681351,R
2024,681357,L
2024,681371,R
2024,681377,R
2024,681393,R
2024,681439,R
2024,681460,B
2024,681468,L
2024,681481,L
2024,681508,L
2024,681526,R
2024,681538,R
2024,681540,R
2024,681546,L
2024,681580,L
2024,681584,R
2024,681624,R
2024,681679,R
2024,681807,R
2024,681831,L
2024,681868,L
2024,681909,R
2024,681962,R
2024,681987,R
2024,682073,R
2024,682090,R
2024,682119,R
2024,682177,L
2024,682182,R
2024,682187,L
2024,682191,R
2024,682192,R
2024,682239,R
2024,682265,R
2024,682276,R
2024,682515,R
2024,682617,R
2024,682618,R
2024,682619,R
2024,682621,R
2024,682622,R
2024,682626,R
2024,682631,R
2024,682634,R
2024,682637,L
2024,682641,R
2024,682650,R
2024,682653,R
2024,682657,B
2024,682662,R
2024,682668,R
2024,682674,R
2024,682692,R
2024,682707,L
2024,682722,R
2024,682725,L
2024,682728,L
2024,682729,B
2024,682732,L
2024,682799,R
2024,682829,B
2024,682868,R
2024,682927,L
2024,682928,L
2024,682983,R
2024,682985,L
2024,682987,L
2024,682988,R
2024,682998,L
2024,683002,L
2024,683007,R
2024,683011,R
2024,683021,R
2024,683061,L
2024,683079,L
2024,683083,B
2024,683090,R
2024,683091,R
2024,683104,R
2024,683145,L
2024,683146,L
2024,683152,R
2024,683172,L
2024,683227,R
2024,683344,R
2024,683357,L
2024,683447,R
2024,683485,R
2024,683493,R
2024,683500,R
2024,683539,L
2024,683610,L
2024,683679,R
2024,683734,R
2024,683735,R
2024,683737,L
2024,683766,R
2024,683770,L
2024,684081,R
2024,684519,R
2024,684543,R
2024,684576,R
2024,684712,R
2024,684715,R
2024,684852,L
2024,684922,R
2024,685084,R
2024,685087,R
2024,685091,L
2024,685096,R
2024,685127,L
2024,685133,L
2024,685277,R
2024,685298,L
2024,685300,L
2024,685301,R
2024,685313,L
