stand,p_throws,zone,pitch_type,total_pitches,total_swings,swing_percentage
R,R,7.0,CH,8591,7366,0.857408916307764
R,R,7.0,CS,9,8,0.8888888888888888
R,R,7.0,CU,4168,2503,0.60052783109405
R,R,7.0,EP,15,12,0.8
R,R,7.0,FA,54,31,0.5740740740740741
R,R,7.0,FC,2345,1100,0.4690831556503198
R,R,7.0,FF,15736,8142,0.5174123029994916
R,R,7.0,FO,32,28,0.875
R,R,7.0,FS,2636,2268,0.8603945371775418
R,R,7.0,KC,1634,1068,0.653610771113831
R,R,7.0,KN,89,57,0.6404494382022472
R,R,7.0,SC,6,5,0.8333333333333334
R,R,7.0,SI,26967,18894,0.7006341083546557
R,R,7.0,SL,10472,5745,0.5486058059587471
R,R,7.0,ST,1769,846,0.47823629169022047
R,R,7.0,SV,222,102,0.4594594594594595
R,R,8.0,CH,10284,8758,0.8516141579152081
R,R,8.0,CS,24,20,0.8333333333333334
R,R,8.0,CU,9300,6662,0.7163440860215053
R,R,8.0,EP,30,22,0.7333333333333333
R,R,8.0,FA,106,62,0.5849056603773585
R,R,8.0,FC,7384,5086,0.6887865655471289
R,R,8.0,FF,31359,16589,0.5290028381007047
R,R,8.0,FO,43,35,0.813953488372093
R,R,8.0,FS,3082,2712,0.8799480856586632
R,R,8.0,KC,3745,2740,0.7316421895861148
R,R,8.0,KN,145,91,0.6275862068965518
R,R,8.0,SC,9,6,0.6666666666666666
R,R,8.0,SI,29451,17239,0.585345149570473
R,R,8.0,SL,29345,21665,0.7382859090134606
R,R,8.0,ST,4589,3101,0.6757463499673131
R,R,8.0,SV,475,312,0.6568421052631579
R,R,9.0,CH,6589,4498,0.6826529063590833
R,R,9.0,CS,13,12,0.9230769230769231
R,R,9.0,CU,10792,7296,0.676056338028169
R,R,9.0,EP,56,40,0.7142857142857143
R,R,9.0,FA,121,54,0.4462809917355372
R,R,9.0,FC,13411,8978,0.6694504511222131
R,R,9.0,FF,38979,13974,0.3585007311629339
R,R,9.0,FO,25,17,0.68
R,R,9.0,FS,1956,1457,0.7448875255623721
R,R,9.0,KC,4041,2679,0.6629547141796585
R,R,9.0,KN,142,85,0.5985915492957746
R,R,9.0,SC,3,2,0.6666666666666666
R,R,9.0,SI,22642,6985,0.3084974825545447
R,R,9.0,SL,45468,32833,0.7221122547725873
R,R,9.0,ST,7460,5462,0.732171581769437
R,R,9.0,SV,785,568,0.7235668789808917
R,R,11.0,CH,8532,3014,0.353258321612752
