pitch_type,stand,count_state,mean_plate_x,mean_plate_z,mean_velo,mean_pfx_x,mean_pfx_z,cov_plate_x_platex,cov_plate_z_plate_z,cov_velo_velo,cov_pfx_x_pfx_x,cov_pfx_z_pfx_z,cov_plate_x_plate_z,cov_plate_x_velo,cov_plate_z_velo,cov_pfx_x_velo,cov_pfx_z_velo,cov_pfx_x_plate_z,cov_pfx_z_plate_z,cov_pfx_x_plate_x,cov_pfx_z_plate_x,cov_pfx_x_pfx_z,count
FA,L,ahead,-0.42597368421052634,2.7981842105263155,72.57368421052631,-0.5995263157894737,1.2093421052631579,1.221802479516734,1.3911800715178453,107.42817108734907,0.25822141091515116,0.13108215178447452,-0.394515097208721,-0.9051048465490897,-0.14372337175392294,-1.2427447576725454,-0.24298305790862365,0.060942023330093034,0.019124132064990987,0.05619412998194694,0.07099579572281628,0.04017735731148451,380
FA,L,behind,-0.3343884892086331,2.856834532374101,69.59884892086332,-0.4640863309352518,1.3027625899280577,0.6773575145647169,0.7749213774801478,88.00700155495194,0.25043082827110075,0.10139898534198563,-0.201987254576742,0.3088494080816037,0.3047773308730534,-0.6364773329463226,-0.586858486928037,0.02488142661663177,0.007160198411875689,0.02432512491447765,0.04146747247734954,0.0024640428752099137,695
FA,L,even,-0.32566815144766154,2.7755345211581295,69.94276169265034,-0.543207126948775,1.2693207126948773,0.7762205675687076,0.938538677179312,102.23868221962333,0.2596119994140325,0.12619942657162092,-0.14698765806834466,-0.4051174392245372,-0.1643160820651864,-0.9533944775085472,-0.8212351341889446,0.03593360024630482,0.07764166784604959,0.002060731018763357,0.023896368369695567,0.04221699403852981,898
FA,R,ahead,0.32411877394636013,2.578965517241379,70.89578544061304,-0.4075670498084291,1.2417624521072799,0.8537678399923526,1.2629605400754507,121.52028930512346,0.36161191967995526,0.16150053463351513,-0.25083373486001714,-0.005836734543796581,1.1448113707062015,-0.7939954846632983,-0.3386067612387024,-0.00046715202859222947,0.08236612614997683,0.05231472007118639,0.05110040446827131,-0.009867443981144431,522
FA,R,behind,0.16654800431499459,2.701521035598706,69.63203883495146,-0.4938187702265372,1.3482955771305285,0.6830178764727944,0.9263986558745207,92.79963115183784,0.24411175113757855,0.09161264256141063,-0.2828533830303285,0.5125556417622513,-0.7589105558933924,-0.9985351863113088,-0.720270387301055,0.03406931367820671,0.026744603926831482,0.007756457813472008,0.01473104303112062,0.024031497130714972,927
FA,R,even,0.28162291169451076,2.6795465393794746,68.67836117740652,-0.4407239459029435,1.3088225934765314,0.7638368545064834,1.0322551286046535,106.52830527390542,0.3217033767589403,0.1261325298075999,-0.22612657240472464,0.04052161082650538,0.20880387410121184,-1.5031780981915286,-0.7425629183578328,0.04109592941945487,0.05299954528525608,0.07785133507137103,0.033110829545627295,0.038468175605146225,1257
FC,L,ahead,0.07984246507480432,2.3961054691370256,89.40354701278113,0.11870578618844742,0.676371742792034,0.8909449009951766,0.9911513750690524,10.823100544147376,0.09746996798019411,0.12541832337283532,-0.0479506519337222,0.3705974724183317,0.4693707041395331,0.05712380994816825,0.4615486008875782,0.011291533793129018,0.08901980701788774,0.08546271999207798,0.002977526548367705,-0.008750617434275031,40393
FC,L,behind,0.0824120613486705,2.4160679753271648,89.32459624481629,0.13624864549470703,0.7100843960990247,0.5840284015232615,0.6481503525176618,9.507972305511265,0.09196511724346078,0.10919596053505776,-0.08318108171263243,0.24973331881845703,0.04600562632191,0.03688124193757217,0.3569390182924528,0.011436821574976516,0.025445842096816648,0.04314369973709515,9.003087326506344e-06,-0.013392812782925537,48008
FC,L,even,0.09144453884917379,2.444094398218681,89.37449021446149,0.12371753365659288,0.7065051857494433,0.7053431061340427,0.7583311371562559,10.281533440656354,0.09433005627557768,0.1145545924169829,-0.06687660004113954,0.36935289278162586,0.14938694439237912,0.040986418930364345,0.3930055100195479,0.013259018018500124,0.03669970995389975,0.05419610793726792,0.004561928477114203,-0.010533608598314474,68304
FC,R,ahead,0.3486550950525445,2.1806845132668724,88.53264004858053,0.11005246023311911,0.6421616652328661,0.9679352968983539,0.9107487301786641,9.805535601125218,0.11070491104970684,0.13155429105969388,-0.1656540943921833,0.14022262054374432,0.19294171024643056,0.10474364038745688,0.4322433989705887,-0.020692544597622434,0.09087956849675996,0.12050997912780216,-0.027012222098292737,-0.008326959663622503,59315
FC,R,behind,0.19722809410160247,2.275418900908161,88.49412174937234,0.1124610234634101,0.6802825217741685,0.6076277724434802,0.6477168884480171,9.410700664541238,0.1056452970085092,0.11578631770056479,-0.11402051879711196,0.15608585224475754,-0.05971391880487921,0.112113885566835,0.3789397777684419,-0.010626667515912154,0.03212074565573685,0.07639245220699939,-0.008323971610313275,-0.00911774450922505,64560
FC,R,even,0.2384424477118251,2.273855105786491,88.49705734051349,0.11338093221193603,0.6704874851253505,0.7200360296492773,0.7320259826964214,9.619926194087325,0.10605676333101056,0.12068517295074706,-0.13980910518158485,0.12142989185508385,-0.021764525167485775,0.09777775089015997,0.38337865943425425,-0.013762670432589195,0.042183460676942265,0.0867056401708334,-0.014460243522376449,-0.00992273710695862,99210
FF,L,ahead,-0.1451763003183102,3.0600533512432064,94.12807940254177,-0.44100257300426615,1.319743550935079,0.6457675073942196,0.7957071683892274,6.935394641214994,0.33210147610072105,0.06931079529539501,-0.08825317891353994,-0.014665320299453895,-0.06914922685573605,-0.2792862264681089,0.060510998442386874,-0.03470713773379959,0.006350413440265552,0.009474485910320482,0.0033557918451160482,0.004625933264712218,211458
FF,L,behind,-0.14651993009902634,2.5918989368236263,93.62163007168417,-0.411833830644682,1.3287009276540775,0.5231148668268004,0.6078935531965742,6.68282783945349,0.3513563740900425,0.06606816649940438,-0.07393667669600489,0.08857296057333862,-0.011628189330418297,-0.29850644341890614,0.03912167329646332,-0.006441244947679703,0.0074932362553654,0.02424093941395753,0.001973716778343475,0.0021185972011752026,252401
FF,L,even,-0.15075389753730822,2.694356475200625,93.67317425096003,-0.415497832760385,1.328852857652023,0.5875218643854491,0.683332015145105,6.995080279976269,0.3517839022364625,0.06662346367128634,-0.06291123488512806,0.081720272926937,0.03145384878045009,-0.3237666404044211,0.02956172322950642,-0.01307993485593992,0.0053235079325352486,0.02043890749011528,6.507821102216769e-05,0.003040108175303697,347971
FF,R,ahead,0.13192980754911707,2.988892567593308,93.85552885031636,-0.16197418501317767,1.3376594816241156,0.6528695262073667,0.8218794103383977,7.044353574627539,0.48934212018745166,0.06699608110513891,-0.07727937580672425,0.16765439988758446,-0.13180885941906162,-0.4210307238219084,0.042416894666051155,0.03906109867391419,0.006652209543418986,-0.03313343858139803,-0.0009034767586700417,-0.00561048751063422,288791
FF,R,behind,0.10657599162194005,2.5756603613038362,93.49827955229743,-0.16344732113928895,1.3449124391688674,0.5277473799348549,0.6173537816012561,6.735832377905733,0.47403108388521986,0.06471165943066598,-0.07534079017011251,0.040229510499759855,-0.043826162371470884,-0.4432240443158304,0.034690369792489864,0.024721374409920338,0.009155229677872134,-0.01303969514880232,0.0018240126489656274,-0.002639437792750045,305627
FF,R,even,0.1250246292568616,2.6605579950524105,93.49264013460224,-0.17606383649371013,1.3462370032542137,0.5865921726854908,0.6780333321048595,7.047007488149559,0.47818547328427935,0.06489625354753728,-0.08898090928910551,0.06077299924847719,-0.019919757568084628,-0.4484863849485475,0.028689896777601923,0.026578765742111644,0.007079834126647549,-0.019729622121222486,0.002213904869516109,-0.0028124786511880546,460095
FO,L,ahead,-0.2656338028169014,1.2741197183098592,83.72535211267606,-0.7061267605633803,0.25957746478873234,0.5807851092420243,1.1227804944508042,7.2589309709849275,0.12412275419300248,0.23329805404867357,-0.4777371323346438,0.33088891653809777,-0.48550057233862515,-0.462027870402628,0.8497987358781665,0.05744547105957297,-0.004291539342059432,0.011064654357238843,0.028872522769123575,-0.07256443537550392,284
FO,L,behind,-0.21791666666666665,1.5828125,84.55520833333333,-0.7585416666666666,0.45406250000000004,0.6477345614035088,1.5117067434210523,6.609446271929818,0.11580627192982455,0.26547069078947383,-0.4724269736842105,0.29790482456140394,-0.891925328947369,-0.44900767543859604,0.8806049342105261,0.014343223684210524,-0.07335259868421053,0.01971271929824562,0.07405144736842106,-0.1013375657894737,96
FO,L,even,-0.2424803149606299,1.5910629921259842,83.86496062992126,-0.7218110236220473,0.31665354330708656,0.5800337446702555,1.3605233715103797,6.605526283028843,0.12299749774361217,0.25358045656842304,-0.44260683918956784,-0.21955760791758724,-0.31346853505960015,-0.5274550122934235,0.8449455199028973,0.06797070741651365,0.020700014005166363,0.051636201798885804,-0.020505566275559425,-0.09339541252995551,254
FO,R,ahead,0.14541436464088398,1.1992265193370166,83.49364640883978,-0.6003591160220995,0.24701657458563536,0.6935013513720336,1.282817682618876,5.805139575457972,0.18958740530447957,0.20474121302092083,-0.27375369522964155,-0.4691372492003489,-0.4235173933671048,-0.3268471633430772,0.6313023216663352,0.1180822699377114,0.04232954194150686,0.09969280849696209,-0.049220644006060514,-0.03980384444682513,362
FO,R,behind,0.19011494252873562,1.6843678160919542,84.40114942528736,-0.3063218390804598,0.3666666666666667,0.5238778936113341,1.3306132584870358,4.694766105319435,0.5641700347500669,0.26746434108527123,-0.2056202753274526,-0.2811512964448006,-0.1206794974605722,-0.5231670676289757,0.7633992248062017,0.2969651430098904,0.13204728682170544,0.12214259556268377,-0.08836356589147287,-0.0481968992248062,87
FO,R,even,0.12902953586497892,1.3644303797468356,83.82362869198313,-0.5952320675105485,0.32037974683544307,0.5698181220052921,1.4837730851748543,5.237066437817344,0.2848674247300294,0.20977993992705427,-0.3300715297146536,-0.25788375169849076,-0.27121953443467045,-0.39449873060144464,0.6350926839733959,0.14189954945290711,0.09042627655009655,0.08628134162912107,-0.07264962990774511,-0.034328936923406966,237
FS,L,ahead,-0.40356397292669,1.5613442876946912,86.11949359863003,-0.8525275218135856,0.3254717442713855,0.6068832608818248,0.968723000156348,8.32265158452615,0.19942061646984474,0.13430829324846483,-0.34455942898318476,0.13204717371890934,-0.2461571744728575,-0.21342501903449249,0.017614962652960277,0.05024763027091515,0.024672668566416808,0.05616931169493475,0.003966135990489776,-0.0039314865065287205,24526
FS,L,behind,-0.2951158451251749,1.893364951018504,85.88453584201523,-0.9177452962214274,0.3625866894728658,0.5209343112814401,0.7932083325495666,8.976108714639297,0.18307128633779465,0.14670674448653337,-0.2949150910678004,0.0655153921471583,-0.17932219199458974,-0.22752830568528443,-0.05925662914733276,0.03935929682143403,0.027685969059918686,0.04197093223766661,-0.0004576001736012305,-0.006160074177335591,12862
FS,L,even,-0.3410841290747448,1.8127239051695754,85.8756585446164,-0.8911594501152453,0.3385149818900231,0.5684275301107264,0.8859338930626116,8.868769066198258,0.17630093592469337,0.1447721761904327,-0.32250494555825626,0.1047479664978471,-0.22816127114561488,-0.2265377114137953,-0.006969550924479941,0.04246575972046213,0.03275796989086308,0.04286438609112835,-0.00015325438884613307,-0.005537688123488705,24296
FS,R,ahead,0.02005718642775448,1.4748494090735798,85.9483198082893,-0.6519383475845543,0.3383328794727956,0.6535680849648312,0.9972476475281183,9.51687857658399,0.4585042981595569,0.14542696456648666,-0.252708757727643,-0.13676610761430852,-0.2388389649090456,-0.5230907025066988,-0.007481096441626631,0.057950315385017895,0.03394246407471363,0.13282670671377794,0.0029343927274811305,0.029337743310481317,18361
FS,R,behind,-0.06643915756630266,1.8301261050442017,85.93723348933958,-0.6576001040041602,0.38594513780551215,0.5533216705923434,0.8245779973576944,11.726726866292084,0.5898732671850173,0.15422275761905432,-0.18830752230102207,-0.15916406517657142,-0.15747576602322974,-0.7870157756095707,-0.13089867214503947,0.027519291652695895,0.030761712809300307,0.09901862785706332,0.011638429680861661,0.050993063679119786,7692
FS,R,even,-0.02497744169790939,1.7238901950816548,85.85352989769333,-0.6309830336150474,0.3617601830081973,0.5992714423609442,0.9306362634886542,10.876375598257182,0.5384698838631142,0.1568121913402824,-0.22081948913442145,-0.200765061204479,-0.1614236845663946,-0.6979401304323009,-0.04173994523170471,0.043957287831590836,0.040697632282424914,0.11609353704733942,0.005096166442236409,0.04608982143055012,15737
KC,L,ahead,0.04399769053117783,1.465625404157044,81.67014318706698,0.5561127020785219,-0.8856327944572748,0.6865936209471281,1.194388543675357,10.0069777151886,0.27262658067379747,0.17815272671789728,-0.37958117597717045,0.49297861828071926,-0.5113119191996434,-0.11900576236207164,0.3791289649250729,0.021840627004196825,0.021656784056397253,0.06289578482309113,-0.017210577007701205,-0.033440295440044426,21651
