stand,p_throws,zone,pitch_type,ball_in_play,foul,swinging_strike,total_swings,pct_swinging_strike,pct_foul,pct_ball_in_play
L,L,3.0,FF,1711,2662,1139,5512,0.2066400580551524,0.48294629898403485,0.31041364296081275
L,L,3.0,FS,5,4,0,9,0.0,0.4444444444444444,0.5555555555555556
L,L,3.0,KC,28,47,3,78,0.038461538461538464,0.6025641025641025,0.358974358974359
L,L,3.0,KN,0,1,0,1,0.0,1.0,0.0
L,L,3.0,SI,1393,1442,393,3228,0.12174721189591078,0.44671623296158613,0.4315365551425031
L,L,3.0,SL,318,401,184,903,0.20376522702104097,0.4440753045404208,0.3521594684385382
L,L,3.0,ST,44,95,31,170,0.18235294117647058,0.5588235294117647,0.25882352941176473
L,L,3.0,SV,9,8,2,19,0.10526315789473684,0.42105263157894735,0.47368421052631576
L,L,4.0,CH,177,119,45,341,0.13196480938416422,0.3489736070381232,0.5190615835777126
L,L,4.0,CU,560,393,168,1121,0.14986619090098127,0.35057983942908116,0.49955396966993754
L,L,4.0,EP,1,0,0,1,0.0,0.0,1.0
L,L,4.0,FA,2,3,1,6,0.16666666666666666,0.5,0.3333333333333333
L,L,4.0,FC,940,777,337,2054,0.1640701071080818,0.37828627069133397,0.45764362220058424
L,L,4.0,FF,2406,3527,1259,7192,0.17505561735261402,0.4904060066740823,0.33453837597330366
L,L,4.0,FS,8,6,5,19,0.2631578947368421,0.3157894736842105,0.42105263157894735
L,L,4.0,KC,104,65,25,194,0.12886597938144329,0.33505154639175255,0.5360824742268041
L,L,4.0,KN,2,2,0,4,0.0,0.5,0.5
L,L,4.0,SI,1059,856,228,2143,0.10639290713952403,0.3994400373308446,0.49416705552963136
L,L,4.0,SL,2058,1486,769,4313,0.17829816832830975,0.3445397635056805,0.47716206816600976
L,L,4.0,ST,396,324,186,906,0.2052980132450331,0.3576158940397351,0.4370860927152318
L,L,4.0,SV,62,37,21,120,0.175,0.30833333333333335,0.5166666666666667
L,L,5.0,CH,389,312,111,812,0.13669950738916256,0.3842364532019704,0.479064039408867
L,L,5.0,CS,0,1,1,2,0.5,0.5,0.0
L,L,5.0,CU,742,507,157,1406,0.1116642958748222,0.36059743954480794,0.5277382645803699
L,L,5.0,EP,4,0,0,4,0.0,0.0,1.0
L,L,5.0,FA,2,3,0,5,0.0,0.6,0.4
L,L,5.0,FC,882,651,189,1722,0.10975609756097561,0.3780487804878049,0.5121951219512195
L,L,5.0,FF,3871,4419,1276,9566,0.13338908634748067,0.4619485678444491,0.40466234580807026
L,L,5.0,FO,1,0,0,1,0.0,0.0,1.0
L,L,5.0,FS,11,9,8,28,0.2857142857142857,0.32142857142857145,0.39285714285714285
L,L,5.0,KC,187,121,16,324,0.04938271604938271,0.3734567901234568,0.5771604938271605
L,L,5.0,KN,1,1,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
L,L,5.0,SC,1,0,0,1,0.0,0.0,1.0
L,L,5.0,SI,3108,2136,380,5624,0.06756756756756757,0.37980085348506404,0.5526315789473685
L,L,5.0,SL,2192,1672,549,4413,0.12440516655336506,0.3788805801042375,0.49671425334239744
L,L,5.0,ST,372,354,152,878,0.17312072892938496,0.4031890660592255,0.42369020501138954
L,L,5.0,SV,40,53,17,110,0.15454545454545454,0.4818181818181818,0.36363636363636365
L,L,6.0,CH,361,502,130,993,0.1309164149043303,0.5055387713997986,0.3635448136958711
L,L,6.0,CU,329,333,55,717,0.07670850767085077,0.46443514644351463,0.45885634588563456
L,L,6.0,EP,1,0,0,1,0.0,0.0,1.0
L,L,6.0,FA,1,0,0,1,0.0,0.0,1.0
L,L,6.0,FC,275,257,42,574,0.07317073170731707,0.44773519163763065,0.47909407665505227
L,L,6.0,FF,2484,2502,504,5490,0.09180327868852459,0.4557377049180328,0.4524590163934426
